iter	Passed	Remaining
0	151	151576
1	153	76445
2	154	51308
3	155	38707
4	157	31404
5	161	26710
6	162	23068
7	163	20306
8	164	18159
9	166	16461
10	167	15041
11	168	13854
12	169	12847
13	171	12072
14	172	11350
15	174	10723
16	175	10153
17	176	9636
18	177	9183
19	178	8770
20	180	8400
21	181	8054
22	182	7740
23	183	7446
24	185	7220
25	187	7009
26	189	6831
27	190	6622
28	191	6421
29	193	6242
30	194	6074
31	195	5908
32	196	5753
33	197	5603
34	200	5518
35	201	5394
36	202	5272
37	203	5153
38	204	5045
39	206	4945
40	207	4846
41	208	4746
42	209	4651
43	210	4564
44	211	4478
45	211	4396
46	214	4341
47	215	4279
48	219	4253
49	220	4191
50	222	4131
51	223	4065
52	223	4002
53	224	3940
54	225	3880
55	227	3837
56	230	3819
57	231	3767
58	233	3716
59	234	3681
60	236	3633
61	236	3584
62	237	3536
63	238	3489
64	239	3445
65	240	3402
66	242	3378
67	244	3349
68	246	3320
69	247	3287
70	249	3258
71	249	3222
72	250	3186
73	251	3151
74	252	3117
75	253	3086
76	254	3054
77	257	3045
78	259	3027
79	264	3039
80	265	3008
81	266	2978
82	266	2945
83	267	2920
84	268	2893
85	269	2866
86	270	2839
87	275	2853
88	277	2839
89	278	2816
90	279	2793
91	280	2771
92	281	2747
93	282	2725
94	283	2702
95	284	2679
96	285	2656
97	287	2649
98	289	2631
99	290	2617
100	292	2599
101	293	2583
102	294	2567
103	295	2548
104	296	2529
105	297	2509
106	298	2490
107	299	2470
108	299	2451
109	301	2442
110	303	2434
111	305	2422
112	307	2414
113	308	2399
114	310	2386
115	311	2371
116	311	2354
117	312	2338
118	313	2322
119	314	2307
120	315	2295
121	318	2295
122	320	2282
123	321	2268
124	322	2255
125	323	2241
126	324	2227
127	324	2213
128	325	2200
129	326	2187
130	327	2174
131	328	2161
132	329	2147
133	330	2134
134	333	2137
135	335	2130
136	336	2119
137	337	2107
138	338	2096
139	339	2084
140	340	2072
141	340	2058
142	341	2046
143	342	2034
144	342	2022
145	343	2010
146	344	1998
147	346	1992
148	347	1982
149	348	1973
150	349	1963
151	349	1952
152	350	1942
153	351	1931
154	352	1921
155	353	1911
156	354	1901
157	354	1890
158	355	1880
159	356	1870
160	356	1859
161	357	1849
162	358	1839
163	359	1830
164	360	1823
165	361	1818
166	362	1810
167	364	1802
168	364	1794
169	365	1785
170	366	1776
171	367	1768
172	368	1759
173	368	1751
174	369	1743
175	370	1734
176	371	1726
177	372	1717
178	372	1709
179	373	1701
180	374	1696
181	376	1690
182	376	1682
183	377	1674
184	378	1666
185	379	1659
186	380	1652
187	380	1644
188	381	1637
189	382	1630
190	383	1623
191	384	1616
192	384	1608
193	385	1601
194	386	1595
195	387	1588
196	388	1581
197	388	1575
198	391	1574
199	392	1570
200	393	1564
201	394	1558
202	395	1553
203	396	1546
204	397	1540
205	398	1534
206	399	1529
207	400	1524
208	401	1518
209	402	1513
210	403	1507
211	404	1504
212	406	1500
213	407	1495
214	408	1490
215	408	1484
216	410	1479
217	410	1473
218	411	1467
219	412	1461
220	413	1456
221	413	1450
222	414	1444
223	415	1440
224	416	1435
225	417	1429
226	418	1423
227	419	1418
228	420	1415
229	422	1412
230	422	1407
231	423	1402
232	424	1397
233	425	1392
234	426	1386
235	426	1381
236	427	1376
237	428	1371
238	429	1367
239	430	1363
240	431	1358
241	431	1352
242	432	1347
243	433	1342
244	434	1340
245	435	1335
246	436	1331
247	437	1326
248	438	1321
249	438	1316
250	439	1312
251	440	1307
252	441	1303
253	442	1298
254	442	1294
255	443	1289
256	444	1284
257	445	1280
258	445	1275
259	446	1270
260	447	1266
261	448	1262
262	449	1258
263	451	1258
264	452	1254
265	453	1250
266	454	1246
267	454	1242
268	455	1238
269	456	1233
270	457	1230
271	458	1226
272	458	1221
273	459	1217
274	460	1213
275	461	1209
276	461	1205
277	462	1201
278	463	1197
279	464	1194
280	465	1191
281	466	1187
282	467	1183
283	467	1179
284	468	1175
285	469	1172
286	470	1168
287	471	1165
288	472	1161
289	472	1157
290	473	1154
291	474	1150
292	475	1146
293	475	1142
294	476	1138
295	477	1135
296	477	1131
297	479	1128
298	480	1125
299	481	1122
300	481	1118
301	482	1115
302	483	1111
303	484	1108
304	485	1105
305	486	1102
306	486	1099
307	487	1095
308	488	1092
309	489	1089
310	490	1085
311	490	1082
312	491	1079
313	492	1075
314	493	1073
315	495	1071
316	495	1068
317	496	1065
318	497	1061
319	498	1058
320	499	1056
321	500	1053
322	501	1050
323	501	1047
324	502	1044
325	503	1040
326	504	1037
327	504	1034
328	505	1031
329	506	1028
330	507	1024
331	507	1021
332	509	1019
333	510	1017
334	511	1015
335	512	1013
336	513	1010
337	514	1008
338	515	1005
339	516	1002
340	517	999
341	517	996
342	518	993
343	519	991
344	520	989
345	521	986
346	522	983
347	523	980
348	524	977
349	524	974
350	525	972
351	526	969
352	527	966
353	528	963
354	528	960
355	529	958
356	530	955
357	531	952
358	531	949
359	532	946
360	533	943
361	536	946
362	537	943
363	538	940
364	539	938
365	540	935
366	541	933
367	541	930
368	542	928
369	543	925
370	544	922
371	544	919
372	545	917
373	546	914
374	547	911
375	547	909
376	548	906
377	549	904
378	550	902
379	551	900
380	552	897
381	553	894
382	554	892
383	554	890
384	555	887
385	556	885
386	557	883
387	558	880
388	558	877
389	559	875
390	560	872
391	561	870
392	561	867
393	562	865
394	563	862
395	565	862
396	566	860
397	567	858
398	568	855
399	569	853
400	569	851
401	570	848
402	571	846
403	572	843
404	572	841
405	573	839
406	574	836
407	574	834
408	575	831
409	576	829
410	577	827
411	578	825
412	579	823
413	580	822
414	581	819
415	582	817
416	583	815
417	583	813
418	584	810
419	585	808
420	586	806
421	587	804
422	587	801
423	588	799
424	589	797
425	590	795
426	590	792
427	591	790
428	592	788
429	593	786
430	594	785
431	595	783
432	596	781
433	597	779
434	599	778
435	600	776
436	601	774
437	602	772
438	602	770
439	603	768
440	604	765
441	605	763
442	605	761
443	606	760
444	607	757
445	608	755
446	610	755
447	611	753
448	611	750
449	612	748
450	613	746
451	614	744
452	615	742
453	615	740
454	616	738
455	617	736
456	618	734
457	619	732
458	619	730
459	620	728
460	621	726
461	622	724
462	622	722
463	623	720
464	624	719
465	626	717
466	627	715
467	627	713
468	628	711
469	629	709
470	630	707
471	631	705
472	631	703
473	632	701
474	633	699
475	633	697
